Candidate,Safety offset,MAE,RMSE,R2,NASA Score,Near-failure MAE,Late prediction rate,Maximum overprediction,Mean residual
Ridge — Temporal | alpha=1000,0.0,48.72712811804054,64.44764938772909,0.6630105045934523,1357809674.9781766,14.8734337974898,0.5479934924078091,198.89491746025487,-0.4591529845138448
Ridge — Current Cycle | alpha=0.01,52.0,58.59686948170332,81.20400144977111,0.4649959617187721,71305812935.23653,13.15760631462323,0.21691973969631237,135.63644070954047,-45.91538305656321
Ridge — Current Cycle | alpha=0.01,54.0,59.43520126306718,82.25057993299822,0.4511165487159521,83164174949.1203,13.26096304488301,0.210412147505423,133.63644070954047,-47.60720792987628
Ridge — Current Cycle | alpha=0.01,56.0,60.29190742287818,83.32041059552024,0.4367450689544753,96994827763.55412,13.356548063989182,0.20200650759219088,131.63644070954047,-49.29048422645229
Ridge — Current Cycle | alpha=0.01,58.0,61.17830457980433,84.41197213770766,0.42189025071497255,113125765579.12978,13.447888893474158,0.19170281995661606,129.63644070954047,-50.965674595832596
Ridge — Current Cycle | alpha=0.01,60.0,62.096290504178356,85.52254971931112,0.4065782226687171,131939535001.47034,13.539658563598477,0.1822125813449024,127.63644070954047,-52.63090057015388
Ridge — Current Cycle | alpha=0.01,62.0,63.04548137753465,86.65484024601109,0.3907607827517914,153882309409.64172,13.643284223105683,0.17380694143167028,125.63644070954047,-54.29087914241564
Ridge — Current Cycle | alpha=0.01,64.0,64.02025600576013,87.8073487636698,0.3744472634673812,179474467196.96875,13.742151274689908,0.1651301518438178,123.63644070954047,-55.945538763999274
Ridge — Current Cycle | alpha=0.01,66.0,65.02586633821646,88.97694314538369,0.3576715443343935,209322933111.95312,13.841053431539462,0.15428416485900218,121.63644070954047,-57.591235815709716
Ridge — Current Cycle | alpha=0.01,68.0,66.0611058128865,90.16282269650125,0.3404356119349219,244135572573.8789,13.93841651019683,0.14642082429501085,119.63644070954047,-59.22747840109585
Ridge — Current Cycle | alpha=0.01,70.0,67.12005224699666,91.36249154307927,0.32276706730268945,284737977598.5267,14.017020393514402,0.13801518438177873,117.63644070954047,-60.85226288617016
Ridge — Current Cycle | alpha=0.01,72.0,68.19649171577318,92.57624565026892,0.3046534114299966,332093047036.9174,14.074762100006444,0.1306941431670282,115.63644070954047,-62.46816570887408
Ridge — Current Cycle | alpha=0.01,74.0,69.29696036635066,93.80265070529941,0.28610815395667477,387323821967.40173,14.112638965620011,0.1220173535791757,113.63644070954047,-64.07403883371404
Ridge — Current Cycle | alpha=0.01,76.0,70.42266639115104,95.04185082112244,0.26712151949898566,451740119899.82623,14.169899910341728,0.11415401301518438,111.63644070954047,-65.67153620626964
Ridge — Current Cycle | alpha=0.01,78.0,71.57178612005073,96.29275302687607,0.24770286747342563,526869594274.1644,14.23057696097859,0.10710412147505423,109.63644070954047,-67.26058643341784
