Model,Horizon,Threshold,Samples,Positive rate,Predicted positive rate,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,True negatives,False positives,False negatives,True positives,F2
Calibrated Logistic,20,0.61,3062,0.10287393860222077,0.09960809928151534,0.9810581319399085,0.921311475409836,0.8920634920634921,0.9064516129032258,0.9972553030434356,0.9764091058349069,2723,24,34,281,0.8977635782747604
Calibrated Logistic,20,0.62,3062,0.10287393860222077,0.09928151534944481,0.980731548007838,0.9210526315789473,0.8888888888888888,0.9046849757673667,0.9972553030434356,0.9764091058349069,2723,24,35,280,0.8951406649616366
Calibrated Logistic,20,0.63,3062,0.10287393860222077,0.09895493141737427,0.9810581319399085,0.9240924092409241,0.8888888888888888,0.9061488673139159,0.9972553030434356,0.9764091058349069,2724,23,35,280,0.8957133717210493
Calibrated Logistic,20,0.64,3062,0.10287393860222077,0.09797517962116264,0.9820378837361202,0.9333333333333333,0.8888888888888888,0.9105691056910569,0.9972553030434356,0.9764091058349069,2727,20,35,280,0.8974358974358975
Calibrated Logistic,20,0.65,3062,0.10287393860222077,0.09732201175702156,0.9820378837361202,0.9362416107382551,0.8857142857142857,0.9102773246329527,0.9972553030434356,0.9764091058349069,2728,19,36,279,0.8953786906290115
Calibrated Logistic,20,0.66,3062,0.10287393860222077,0.09568909209666884,0.9810581319399085,0.9385665529010239,0.873015873015873,0.9046052631578947,0.9972553030434356,0.9764091058349069,2729,18,40,275,0.8853831294269157
Calibrated Logistic,20,0.67,3062,0.10287393860222077,0.09503592423252775,0.9810581319399085,0.9415807560137457,0.8698412698412699,0.9042904290429042,0.9972553030434356,0.9764091058349069,2730,17,41,274,0.8833010960670536
Calibrated Logistic,20,0.68,3062,0.10287393860222077,0.09438275636838668,0.9817112998040496,0.9480968858131488,0.8698412698412699,0.9072847682119205,0.9972553030434356,0.9764091058349069,2732,15,41,274,0.8844415752098129
Calibrated Logistic,20,0.69,3062,0.10287393860222077,0.09372958850424559,0.9810581319399085,0.9477351916376306,0.8634920634920635,0.9036544850498339,0.9972553030434356,0.9764091058349069,2732,15,43,272,0.8791208791208792
Calibrated Logistic,20,0.7,3062,0.10287393860222077,0.09372958850424559,0.9810581319399085,0.9477351916376306,0.8634920634920635,0.9036544850498339,0.9972553030434356,0.9764091058349069,2732,15,43,272,0.8791208791208792
Calibrated Logistic,20,0.71,3062,0.10287393860222077,0.0930764206401045,0.9810581319399085,0.9508771929824561,0.8603174603174604,0.9033333333333333,0.9972553030434356,0.9764091058349069,2733,14,44,271,0.877022653721683
Calibrated Logistic,20,0.72,3062,0.10287393860222077,0.09274983670803397,0.980731548007838,0.9507042253521126,0.8571428571428571,0.9015025041736227,0.9972553030434356,0.9764091058349069,2733,14,45,270,0.8743523316062176
Calibrated Logistic,20,0.73,3062,0.10287393860222077,0.09209666884389288,0.980731548007838,0.9539007092198581,0.8539682539682539,0.9011725293132329,0.9972553030434356,0.9764091058349069,2734,13,46,269,0.8722438391699092
Calibrated Logistic,20,0.74,3062,0.10287393860222077,0.09177008491182234,0.9804049640757675,0.9537366548042705,0.8507936507936508,0.8993288590604027,0.9972553030434356,0.9764091058349069,2734,13,47,268,0.8695652173913044
